Wavelength,Excitation,Emission
653,99.2080364,17.04777749
654,99.00083172,18.63580936
655,99.53481042,20.77163611
656,100,22.44143044
657,99.75756107,24.80833866
658,99.75015682,27.30922338
659,98.81782435,29.49511092
660,97.53519992,32.19251085
661,97.08020474,34.98317667
662,95.23182825,38.02500612
663,93.38046475,41.0546827
664,91.29300711,44.87398132
665,89.06118712,47.94679709
666,87.43040422,51.957894
667,84.37294888,55.50889721
668,82.40116785,60.10502618
669,79.24451708,63.46396076
670,76.71215673,67.94852294
671,73.74514028,71.61153665
672,70.07039059,74.83298908
673,66.5925166,78.70620195
674,63.45441484,81.57518561
675,59.69924337,84.55257858
676,57.44939069,87.5781279
677,53.64967993,89.12659255
678,50.79623705,92.26896359
679,47.18358147,94.74327429
680,43.84381206,96.82671819
681,41.24877174,97.86600434
682,38.62320188,98.82827529
683,36.46860682,100
684,33.95420209,99.33027445
685,31.84301383,98.96311482
686,29.78596793,98.33957704
687,27.69413752,96.29129174
688,26.06463384,94.79264398
689,24.6006489,93.41936572
690,23.15924598,89.66178822
691,21.90732919,85.27748612
692,21.10008347,83.28753669
693,19.83825676,79.52210931
694,18.91960664,76.01765653
695,18.31846452,73.04151345
696,18.10679519,69.58811774
697,17.97771955,66.34573483
698,17.78298727,63.52167512
699,17.78718775,60.52332803
700,17.80223815,58.02638088
701,0,55.6112963
702,0,53.3104418
703,0,51.79835719
704,0,50.15395606
705,0,48.21343648
706,0,46.98001155
707,0,46.29543119
708,0,45.30344721
709,0,44.21270193
710,0,43.26804369
711,0,41.85079628
712,0,40.89938764
713,0,39.02193659
714,0,38.19048046
715,0,36.50347554
716,0,35.04664736
717,0,33.93909424
718,0,32.87361356
719,0,31.83082052
720,0,30.58762939
721,0,30.13496823
722,0,29.17791821
723,0,28.56327371
724,0,27.97592925
725,0,27.75186609
726,0,27.08989516
727,0,26.10979232
728,0,25.96676652
729,0,25.63599878
730,0,25.12378844
731,0,24.49683016
732,0,24.34725934
733,0,23.6083917
734,0,23.18080336
735,0,23.19818581
736,0,22.84242275
737,0,22.46140765
738,0,22.07684485
739,0,21.64979093
740,0,21.36347815
741,0,21.03047469
742,0,20.79470685
743,0,20.25668749
744,0,20.22839074
745,0,20.29863543
746,0,19.43062008
747,0,19.40874612
748,0,19.38538384
749,0,18.8435603
750,0,18.91757238
751,0,18.34568357
752,0,18.71947132
753,0,18.03257581
754,0,18.11291624
755,0,18.0448099
756,0,17.49706611
757,0,17.52095119
758,0,17.39772216
759,0,16.75136013
760,0,16.9849957
761,0,16.73168697
762,0,16.40588243
763,0,16.60114659
764,0,16.36257176
765,0,15.91953002
766,0,15.66808003
767,0,15.48162702
768,0,15.48689918
769,0,15.08231894
770,0,14.52890862
771,0,14.68655456
772,0,14.24287478
773,0,14.10648713
774,0,13.7013179
775,0,13.22616842
776,0,13.31801856
777,0,13.16123953
778,0,13.1064119
779,0,12.94166304
780,0,12.3977681
781,0,12.05822704
782,0,12.19932963
783,0,11.84825907
784,0,11.76459283
785,0,11.41655108
786,0,11.22043615
787,0,11.31304305
788,0,11.56634189
789,0,11.00906047
790,0,10.84565161
791,0,10.89044405
792,0,10.70317497
793,0,10.68163621
794,0,10.35751484
795,0,10.22037144
796,0,10.11449184
797,0,10.09383092
798,0,9.989432179
799,0,9.734729677
800,0,9.637166873
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
