fp1,fp2,mNeptune_error,acquisition_1,acquisition_2,angle_between_vectors,mCherry_angle_actual,mCherry_angle_predicted,mNeptune_angle_actual,mNeptune_angle_predicted,separability_score,percent_correct
mCherry,mNeptune,10.269864545279491,1080nm_BR2_230poc_20mW,1080nm_Red_306poc_30mW,22.181219301521608,41.26771791522892,21.97809255382987,19.086498613707327,8.816634068427836,199.78379857949483,79.32692307692308
mCherry,mNeptune,23.261555745171663,1080nm_BR2_230poc_20mW,1080nm_FarRed_306poc_30mW,14.10887695412116,39.62947727604361,16.263606003407943,53.73835423016477,30.476798484993104,185.5777635061552,70.36942675159236
mCherry,mNeptune,-15.787151508651112,1080nm_BR2_230poc_20mW,1240nm_BR2_377poc_20mW,7.966870154095649,4.537942684610148,2.2913537001899194,12.504812838705776,28.29196434735689,212.6175132787268,57.48533537362918
mCherry,mNeptune,-2.0319471836978416,1080nm_BR2_230poc_20mW,1240nm_FarRed_493poc_30mW,11.66080745213756,3.8837799096091428,0.6687853093763703,15.54458736174671,17.576534545444552,270.3380741607252,63.09090909090909
mCherry,mNeptune,0.5465147805128225,1080nm_Red_306poc_30mW,1080nm_FarRed_306poc_30mW,32.41503020680572,43.36633260127612,35.86148787256052,75.78136280808184,75.23484802756902,330.36985301141607,86.37512639029323
mCherry,mNeptune,-41.26804621955305,1080nm_Red_306poc_30mW,1240nm_BR2_377poc_20mW,27.448789897927544,5.208355272015895,5.662073526180805,32.657145169943426,73.92519138949648,297.50266061361333,76.96785623892686
mCherry,mNeptune,-25.157979352513706,1080nm_Red_306poc_30mW,1240nm_FarRed_493poc_30mW,34.309611580090404,4.443724289523078,1.6567390619510258,38.75333586961349,63.91131522212719,375.50475857045654,79.93874425727412
mCherry,mNeptune,-33.21514346121525,1080nm_FarRed_306poc_30mW,1240nm_BR2_377poc_20mW,3.737006789868228,5.495042119855078,7.809795552495588,9.232048909723245,42.447192370938495,103.76994779400171,47.874493927125506
mCherry,mNeptune,-16.783496348762103,1080nm_FarRed_306poc_30mW,1240nm_FarRed_493poc_30mW,6.801004735543683,4.707463263051133,2.291353700189919,11.508467998594792,28.291964347356895,143.0493433532751,55.19280205655527
mCherry,mNeptune,20.91944795094659,1240nm_BR2_377poc_20mW,1240nm_FarRed_493poc_30mW,9.982979023826926,41.413267412112795,16.263606003407943,51.396246435939695,30.476798484993104,15.271048242824792,64.47099970853978
